pct_entire_margined, mean_annual_temp_C
86.35674575630334, 26.75519497790229
82.42964550062044, 26.900820242597568
81.38752686338526, 26.432009571195962
82.2850210968509, 25.772905582672504
77.36406594190744, 25.84919342656785
76.22703232688119, 25.262985475469176
72.34335831469848, 23.7634363262473
69.36257206430346, 23.88444782595399
69.31269582817072, 22.803425353846038
72.29153596009901, 21.85985444887315
65.47522822872638, 20.833786655373
61.40372598281299, 19.945504049316497
59.4114011033565, 17.856188332371087
56.38529809437932, 18.82331653802206
51.74374994787182, 16.995633280849916
50.46598416600946, 16.92662948035857
49.37760351265116, 16.904406660914805
50.417386807726274, 16.386146045996973
50.46359322046463, 15.916056496745814
46.346718612584354, 15.850388899340267
47.38550104673372, 14.909097733142676
44.49907374028216, 14.912489539613244
42.46426787486644, 14.867877090571426
41.37466394704333, 14.328616930674627
43.40585559244943, 12.845619055650651
39.430046771713805, 12.403757491397691
35.78530050385933, 11.891001611571436
34.460549861871925, 11.963063598224771
35.54648396630063, 10.951211736762456
32.61268257603068, 10.931157449324466
31.1457540792033, 10.90937945695881
25.557613910484108, 8.988801478308659
24.374651899643297, 8.990191562927741
9.410001751506613, 3.9313956171558715
