Rank,Nation,Skater,Short program,Free skate,Total score
1,Olympic Athletes from Russia,Alina Zagitova,82.92,156.65,239.57
2,Olympic Athletes from Russia,Evgenia Medvedeva,81.61,156.65,238.26
3,Canada,Kaetlyn Osmond,78.87,152.15,231.02
4,Japan,Satoko Miyahara,75.94,146.44,222.38
5,Italy,Carolina Kostner,73.15,139.29,212.44
6,Japan,Kaori Sakamoto,73.18,136.53,209.71
7,South Korea,Dabin Choi,67.77,131.49,199.26
8,Olympic Athletes from Russia,Maria Sotskova,63.86,134.24,198.1
9,United States,Bradie Tennell,64.01,128.34,192.35
10,United States,Mirai Nagasu,66.93,119.61,186.54
11,United States,Karen Chen,65.9,119.75,185.65
12,Kazakhstan,Elizabet Turnsynbaeva,58.8,118.3,177.1
13,South Korea,Ha-nul Kim,54.33,121.38,175.71
14,Slovakia,Nicole Rajicova,60.59,114.6,175.19
15,Canada,Gabrielle Daleman,68.9,103.56,172.46
16,Belgium,Loena Hendrickx,55.16,116.72,171.88
17,Australia,Kailani Craine,56.77,111.84,168.61
18,Germany,Nicole Schott,59.2,109.26,168.46
19,France,Mae Berenice Meite,53.67,106.25,159.92
20,Finland,Emmi Peltonen,55.28,101.86,157.14
21,Switzerland,Alexia Paganini,55.62,101,156.62
22,China,Xiangning Li,52.46,101.97,154.43
23,Hungary,Ivett Toth,53.22,97.21,150.43
24,Brazil,Isadora Williams,55.74,88.44,144.18
